"epp"|"school_year"|"BEP"|"post"|"alt"|"post_bac"|"trad"|"alt_bl"|"post_bac_bl"|"trad_bl"|"bl"|"trad_bl_prop"|"alt_ela"|"alt_g"|"alt_m"|"alt_sci"|"alt_ss"|"alt_tot"|"alt_cte"|"alt_fa"|"alt_hel"|"alt_sped"|"alt_loe"|"alt_cs"|"post_bac_fa"|"post_bac_g"|"post_bac_m"|"post_bac_sped"|"post_bac_tot"|"post_bac_ela"|"post_bac_hel"|"post_bac_loe"|"post_bac_ss"|"post_bac_sci"|"post_bac_cte"|"post_bac_cs"|"trad_ela"|"trad_fa"|"trad_g"|"trad_m"|"trad_sci"|"trad_ss"|"trad_sped"|"trad_tot"|"trad_cte"|"trad_loe"|"trad_hel"|"trad_cs"
"61"|"University of Houston-Clear Lake"|2021|"Non-BEP"|0|18|6|446|2|0|45|47|0.100896860986547|1|4|1|0|0|9|0|0|0|1|0|0|0|1|0|0|3|0|0|0|2|0|0|0|5|8|122|17|1|8|14|223|0|0|3|0
"62"|"University of Houston-Victoria"|2021|"Non-BEP"|0|12|2|112|1|0|3|4|0.0267857142857143|0|2|0|0|3|6|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|2|0|42|1|0|2|0|56|0|1|5|0
"63"|"University of Mary Hardin-Baylor"|2021|"Non-BEP"|0|6|8|130|0|0|0|0|0|0|1|0|1|0|3|0|0|1|0|0|0|0|2|0|0|4|2|0|0|0|0|0|0|2|12|31|2|0|7|4|65|0|1|6|0
"64"|"University of North Texas"|2021|"BEP"|0|10|144|1438|0|21|192|213|0.133518776077886|1|1|0|0|0|5|0|0|1|1|1|0|4|18|1|2|72|11|0|1|7|5|2|0|39|126|213|18|17|55|38|719|3|6|12|0
"65"|"University of Texas - Arlington"|2021|"BEP"|0|18|26|460|1|2|37|40|0.0804347826086956|1|1|3|1|1|9|0|1|0|0|0|0|3|4|1|0|13|1|0|0|1|1|0|0|13|38|84|25|13|13|2|230|0|0|5|0
"66"|"University of Texas - Austin"|2021|"Non-BEP"|0|74|22|562|3|3|67|73|0.119217081850534|5|1|3|15|7|37|0|1|0|0|0|2|4|2|0|0|11|0|0|0|1|1|0|0|15|35|82|13|23|20|18|281|0|2|6|0
"67"|"University of Texas - Dallas"|2021|"BEP"|0|2|20|148|0|1|4|5|0.027027027027027|0|1|0|0|0|1|0|0|0|0|0|0|0|2|1|0|10|1|0|0|3|2|0|0|6|0|23|11|20|10|0|74|0|0|0|0
"68"|"University of Texas - El Paso"|2021|"Non-BEP"|0|86|0|462|7|0|19|26|0.0411255411255411|4|8|5|5|5|43|0|3|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|24|31|73|22|9|9|22|231|0|8|14|0
"69"|"University of Texas - Permian Basin"|2021|"Non-BEP"|0|98|22|116|2|1|7|10|0.0603448275862069|4|15|4|5|2|49|0|3|5|8|1|0|0|4|1|2|11|0|2|0|1|0|0|0|2|8|34|0|0|0|4|58|0|0|3|0
"70"|"University of Texas - San Antonio"|2021|"Non-BEP"|0|30|18|444|0|3|27|30|0.0608108108108108|3|1|1|1|6|15|0|1|0|2|0|0|0|4|0|1|9|1|0|0|0|0|0|0|19|21|90|13|6|16|13|222|0|1|16|0
"71"|"Urban Teachers"|2021|"Non-BEP"|0|178|0|0|44|0|0|44|NA|14|24|6|0|0|89|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"72"|"Wayland Baptist University"|2021|"Non-BEP"|0|2|6|46|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|2|0|0|3|0|0|0|0|1|0|0|1|2|13|1|1|3|0|23|0|0|2|0
"73"|"Web-Centric Alternative Cert Program"|2021|"Non-BEP"|0|658|0|0|29|0|0|29|NA|39|104|16|20|24|329|3|11|26|56|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"74"|"West Texas A&M University"|2021|"Non-BEP"|0|150|32|116|0|0|0|0|0|6|29|8|6|4|75|4|10|4|3|1|0|0|16|0|0|16|0|0|0|0|0|0|0|3|17|14|5|4|4|2|58|6|0|3|0
"75"|"YES PREP PUBLIC SCHOOLS INC"|2021|"Non-BEP"|0|228|0|0|33|0|0|33|NA|17|40|9|8|1|114|0|0|0|5|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"76"|"Angelo State University"|2021|"Non-BEP"|0|0|8|172|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|4|0|0|0|0|0|0|0|3|6|54|2|1|6|10|86|3|1|0|0
"77"|"Austin College"|2021|"Non-BEP"|0|0|52|0|0|10|0|10|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|6|0|0|26|3|1|1|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"78"|"Dallas Baptist University"|2021|"Non-BEP"|0|0|6|50|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|3|1|0|0|0|0|0|0|2|2|15|1|0|5|0|25|0|0|0|0
"79"|"East Texas Baptist University"|2021|"Non-BEP"|0|0|4|66|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|2|0|0|1|0|0|0|0|2|9|16|1|1|0|0|33|0|0|4|0
"80"|"Lamar University"|2021|"Non-BEP"|0|0|8|130|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|2|4|0|0|1|0|0|0|0|8|13|31|0|2|2|0|65|0|4|5|0
"81"|"LeTourneau University"|2021|"Non-BEP"|0|0|28|32|0|2|2|4|0.0625|0|0|0|0|0|0|0|0|0|0|0|0|0|12|0|0|14|0|0|0|0|0|0|0|0|0|8|2|0|2|0|16|0|0|2|0
"82"|"Lubbock Christian University"|2021|"Non-BEP"|0|0|8|48|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|1|4|0|1|0|0|0|0|0|2|3|11|3|0|2|0|24|0|1|2|0
"83"|"Schreiner University"|2021|"Non-BEP"|0|0|6|28|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|3|0|0|0|0|2|0|0|1|2|8|2|0|1|0|14|0|0|0|0
"84"|"Southern Methodist University"|2021|"Non-BEP"|0|0|322|20|0|48|1|49|0.05|0|0|0|0|0|0|0|0|0|0|0|0|0|56|18|0|161|17|0|0|7|15|0|0|0|2|3|0|2|2|0|10|0|0|0|0
"85"|"Southwestern Adventist University"|2021|"Non-BEP"|0|0|2|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|5|0|0|0|0|5|0|0|0|0
"86"|"Texas A&M University"|2021|"Non-BEP"|0|0|130|1186|0|12|132|144|0.111298482293423|0|0|0|0|0|0|0|0|0|0|0|0|0|3|2|0|65|25|3|0|13|7|0|0|30|3|257|67|19|2|40|593|22|0|21|0
"87"|"Texas A&M University - Central Texas"|2021|"Non-BEP"|0|0|12|108|0|1|10|11|0.0925925925925926|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|6|2|0|0|1|0|0|0|7|2|26|6|0|1|2|54|0|0|0|0
"88"|"Texas A&M University - Corpus Christi"|2021|"Non-BEP"|0|0|24|232|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|4|1|1|12|1|0|1|2|1|0|0|4|15|67|6|1|3|8|116|0|0|12|0
"89"|"Trinity University"|2021|"Non-BEP"|0|0|42|0|0|1|0|1|NA|0|0|0|0|0|0|0|0|0|0|0|0|3|8|0|2|21|1|0|2|2|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0
"90"|"University of Houston-Downtown"|2021|"Non-BEP"|0|0|6|588|0|1|123|124|0.209183673469388|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|3|0|0|0|1|0|0|0|1|0|153|2|4|2|9|294|0|0|0|0
"91"|"University of North Texas - Dallas"|2021|"BEP"|1|0|4|134|0|0|15|15|0.111940298507463|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|0|0|0|1|0|0|0|2|0|35|2|2|1|6|67|0|4|0|0
"92"|"University of St Thomas"|2021|"Non-BEP"|0|0|4|60|0|0|7|7|0.116666666666667|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|2|0|0|0|0|0|0|0|1|1|20|1|0|0|0|30|0|0|0|0
