"epp"|"school_year"|"BEP"|"post"|"alt"|"post_bac"|"trad"|"alt_bl"|"post_bac_bl"|"trad_bl"|"bl"|"trad_bl_prop"|"alt_ela"|"alt_g"|"alt_m"|"alt_sci"|"alt_ss"|"alt_tot"|"alt_cte"|"alt_fa"|"alt_hel"|"alt_sped"|"alt_loe"|"alt_cs"|"post_bac_fa"|"post_bac_g"|"post_bac_m"|"post_bac_sped"|"post_bac_tot"|"post_bac_ela"|"post_bac_hel"|"post_bac_loe"|"post_bac_ss"|"post_bac_sci"|"post_bac_cte"|"post_bac_cs"|"trad_ela"|"trad_fa"|"trad_g"|"trad_m"|"trad_sci"|"trad_ss"|"trad_sped"|"trad_tot"|"trad_cte"|"trad_loe"|"trad_hel"|"trad_cs"
"982"|"University of Houston"|2014|"Non-BEP"|0|0|44|670|0|0|33|33|0.0492537313432836|0|0|0|0|0|0|0|0|0|0|0|0|1|7|2|1|22|0|0|0|3|8|0|0|17|43|149|41|21|15|11|335|0|5|0|0
"983"|"University of Houston-Clear Lake"|2014|"Non-BEP"|0|0|36|508|0|5|62|67|0.122047244094488|0|0|0|0|0|0|0|0|0|0|0|0|0|5|1|0|18|4|0|0|2|1|0|0|8|8|119|6|9|22|20|254|0|0|0|0
"984"|"University of Houston-Downtown"|2014|"Non-BEP"|0|0|34|400|0|4|74|78|0.185|0|0|0|0|0|0|0|0|0|0|0|0|0|9|0|0|17|1|0|0|2|1|0|0|0|0|122|3|1|0|0|200|0|0|0|0
"985"|"University of Houston-Victoria"|2014|"Non-BEP"|0|0|30|198|0|0|3|3|0.0151515151515152|0|0|0|0|0|0|0|0|0|0|0|0|0|9|2|0|15|3|0|0|0|1|0|0|3|0|86|1|3|3|0|99|0|0|0|0
"986"|"University of Mary Hardin-Baylor"|2014|"Non-BEP"|0|0|10|154|0|0|5|5|0.0324675324675325|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|1|5|0|0|0|1|0|0|0|3|9|28|4|3|3|9|77|0|1|12|0
"987"|"University of North Texas - Dallas"|2014|"BEP"|1|0|16|236|0|1|42|43|0.177966101694915|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|0|8|0|0|0|2|1|0|0|0|0|64|3|1|0|8|118|0|0|0|0
"988"|"University of St Thomas"|2014|"Non-BEP"|0|0|18|30|0|0|2|2|0.0666666666666667|0|0|0|0|0|0|0|0|0|0|0|0|1|5|0|0|9|0|0|1|1|1|0|0|1|0|8|1|0|1|2|15|0|0|0|0
"989"|"University of Texas - Arlington"|2014|"BEP"|0|0|6|780|0|2|50|52|0.0641025641025641|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|1|0|0|0|0|0|39|44|141|41|21|16|0|390|0|5|33|0
"990"|"University of Texas - Austin"|2014|"Non-BEP"|0|0|116|852|0|7|123|130|0.144366197183099|0|0|0|0|0|0|0|0|0|0|0|0|3|6|4|1|58|10|3|3|9|11|0|1|38|27|144|25|11|18|21|426|0|11|8|0
"991"|"University of Texas - Brownsville"|2014|"Non-BEP"|0|0|58|476|0|5|54|59|0.113445378151261|0|0|0|0|0|0|0|0|0|0|0|0|1|8|6|4|29|1|0|0|0|4|0|0|12|22|60|13|5|12|19|238|0|5|12|24
"992"|"University of Texas - Dallas"|2014|"BEP"|0|0|78|162|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|11|0|39|4|0|0|8|7|0|0|8|0|35|12|18|8|0|81|0|0|0|0
"993"|"University of Texas - Permian Basin"|2014|"Non-BEP"|0|0|68|196|0|3|7|10|0.0357142857142857|0|0|0|0|0|0|0|0|0|0|0|0|2|15|3|2|34|3|2|1|1|1|1|0|7|4|48|2|6|4|6|98|0|2|12|0
"994"|"University of Texas - San Antonio"|2014|"Non-BEP"|0|0|90|768|0|2|40|42|0.0520833333333333|0|0|0|0|0|0|0|0|0|0|0|0|4|8|0|4|45|6|3|2|11|5|0|0|28|27|156|34|5|20|20|384|0|2|52|0
"995"|"University of Texas - Tyler"|2014|"Non-BEP"|0|0|8|276|0|0|18|18|0.0652173913043478|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|4|0|0|1|1|1|0|0|8|4|68|11|5|4|8|138|0|3|9|0
"996"|"University of the Incarnate Word"|2014|"Non-BEP"|0|0|30|72|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|11|0|0|15|0|0|0|1|0|0|0|1|3|29|1|1|1|0|36|0|0|0|0
"997"|"Wayland Baptist University"|2014|"Non-BEP"|0|0|34|106|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|1|2|17|2|0|0|3|2|2|0|5|7|21|4|0|3|5|53|5|0|3|0
"998"|"Arlington Baptist University"|2014|"Non-BEP"|0|0|0|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|0|0|0|3|0|0|0|0
"999"|"North American University"|2014|"Non-BEP"|0|0|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|2|0|0|5|0|0|0|1
"1000"|"Southwestern University"|2014|"Non-BEP"|0|0|0|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|4|1|0|2|5|15|0|1|0|0
"1001"|"Texas Christian University"|2014|"Non-BEP"|0|0|0|282|0|0|19|19|0.0673758865248227|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|18|53|8|3|5|18|141|0|2|6|0
"1002"|"Texas College"|2014|"Non-BEP"|0|0|0|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|8|0|0|5|0
"1003"|"Texas Southern University"|2014|"Non-BEP"|0|0|0|70|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|1|9|3|0|1|2|35|0|0|16|0
"1004"|"University of Phoenix"|2014|"Non-BEP"|0|0|0|40|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|13|0|0|0|7|20|0|0|0|0
"1005"|"University of Texas - Rio Grande Valley"|2014|"Non-BEP"|0|0|0|736|0|0|57|57|0.077445652173913|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|17|28|171|22|7|12|19|368|0|4|31|0
"1006"|"Wiley College"|2014|"Non-BEP"|0|0|0|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|0|0|0|8|0|0|3|0
"1007"|"240 Certification"|2013|"Non-BEP"|0|48|0|0|6|0|0|6|NA|2|9|1|0|4|24|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1008"|"A Career in Education-ACP"|2013|"Non-BEP"|0|22|0|0|0|0|0|0|NA|3|5|1|0|1|11|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1009"|"A Career in Teaching-EPP (Corpus Christi"|2013|"Non-BEP"|0|132|0|0|2|0|0|2|NA|6|19|2|3|3|66|5|3|6|11|5|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1010"|"A Career in Teaching-EPP (McAllen)"|2013|"Non-BEP"|0|270|0|0|23|0|0|23|NA|15|52|6|6|3|135|0|8|5|12|4|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1011"|"A+ Texas Teachers"|2013|"Non-BEP"|0|9838|0|0|573|0|0|573|NA|352|1925|276|266|227|4919|150|210|237|566|100|37|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1012"|"ACT-Central Texas - Temple"|2013|"Non-BEP"|0|146|0|0|5|0|0|5|NA|2|50|2|2|0|73|2|0|2|3|4|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1013"|"ACT-Houston"|2013|"Non-BEP"|0|836|0|0|52|0|0|52|NA|23|181|19|20|19|418|21|13|13|42|10|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1014"|"ACT-Houston at Dallas"|2013|"Non-BEP"|0|736|0|0|44|0|0|44|NA|20|162|16|22|18|368|11|11|9|42|9|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1015"|"ACT-Rio Grande Valley"|2013|"Non-BEP"|0|454|0|0|28|0|0|28|NA|19|63|10|19|9|227|36|8|5|22|6|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1016"|"Alamo Colleges"|2013|"Non-BEP"|0|48|0|0|4|0|0|4|NA|0|11|2|3|1|24|0|0|0|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1017"|"Alternative Cert for Tchrs NOW!(El Paso)"|2013|"Non-BEP"|0|42|0|0|1|0|0|1|NA|1|7|1|1|2|21|1|1|1|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1018"|"Alternative-So Tx Ed Pgm-Laredo (A-STEP)"|2013|"Non-BEP"|0|130|0|0|6|0|0|6|NA|6|15|4|1|8|65|11|3|7|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1019"|"Alternative-South Texas Educator Program"|2013|"Non-BEP"|0|98|0|0|4|0|0|4|NA|5|11|2|4|5|49|7|3|3|3|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1020"|"Austin Community College"|2013|"Non-BEP"|0|4|0|0|1|0|0|1|NA|0|1|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1021"|"Blinn College"|2013|"Non-BEP"|0|108|0|0|7|0|0|7|NA|8|20|2|13|0|54|0|0|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1022"|"Dallas Christian College"|2013|"Non-BEP"|0|2|0|0|0|0|0|0|NA|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1023"|"Dallas ISD"|2013|"Non-BEP"|0|1118|0|0|135|0|0|135|NA|14|245|44|44|14|559|6|9|4|41|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1024"|"Education Career Alternatives Program"|2013|"Non-BEP"|0|1252|0|0|88|0|0|88|NA|33|215|25|27|37|626|40|18|34|79|15|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1025"|"EIT: Excellence in Teaching"|2013|"Non-BEP"|0|14|0|0|0|0|0|0|NA|2|3|1|1|0|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1026"|"Harris County Department of Ed"|2013|"Non-BEP"|0|42|0|0|8|0|0|8|NA|0|11|1|0|0|21|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1027"|"Houston Community College System"|2013|"Non-BEP"|0|42|0|0|2|0|0|2|NA|0|11|1|2|2|21|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1028"|"HOUSTON ISD"|2013|"Non-BEP"|0|308|0|0|66|0|0|66|NA|2|66|5|8|4|154|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1029"|"Huston-Tillotson University"|2013|"Non-BEP"|0|46|0|36|2|0|0|2|0|0|5|5|1|3|23|0|0|0|6|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|1|0|0|3|18|0|0|7|0
"1030"|"Intern Teacher ACP"|2013|"Non-BEP"|0|46|0|0|10|0|0|10|NA|0|13|0|0|0|23|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1031"|"IteachTEXAS"|2013|"Non-BEP"|0|2050|0|0|23|0|0|23|NA|53|461|39|50|33|1025|77|49|90|123|10|17|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1032"|"Lamar State College - Orange"|2013|"Non-BEP"|0|30|0|2|0|0|0|0|0|2|4|1|1|6|15|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0
"1033"|"Lone Star Colleges"|2013|"Non-BEP"|0|260|0|0|17|0|0|17|NA|3|61|8|8|2|130|5|3|2|14|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1034"|"McLennan Community College"|2013|"Non-BEP"|0|138|0|0|1|0|0|1|NA|7|35|1|9|0|69|5|1|3|5|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1035"|"Mountain View College"|2013|"Non-BEP"|0|60|0|0|6|0|0|6|NA|1|16|1|3|0|30|0|0|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1036"|"PASADENA ISD"|2013|"Non-BEP"|0|142|0|0|14|0|0|14|NA|2|34|1|0|3|71|4|4|1|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1037"|"Prairie View A&M University"|2013|"Non-BEP"|0|24|6|118|0|0|0|0|0|2|0|1|1|0|12|0|2|0|6|0|0|0|0|1|0|3|1|1|0|0|0|0|0|5|2|26|7|4|3|6|59|1|0|5|0
"1038"|"Quality ACT: Alternative Certified Tchrs"|2013|"Non-BEP"|0|280|0|0|28|0|0|28|NA|13|58|3|4|6|140|3|1|8|11|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1039"|"REG 01 EDUCATION SERVICE CENTER"|2013|"Non-BEP"|0|312|0|0|21|0|0|21|NA|19|38|22|24|18|156|5|3|2|2|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1040"|"REG 02 EDUCATION SERVICE CENTER"|2013|"Non-BEP"|0|124|0|0|3|0|0|3|NA|2|24|3|3|4|62|2|1|2|18|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1041"|"REG 03 EDUCATION SERVICE CENTER"|2013|"Non-BEP"|0|38|0|0|0|0|0|0|NA|3|12|0|1|0|19|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1042"|"REG 04 EDUCATION SERVICE CENTER"|2013|"Non-BEP"|0|1432|0|16|171|0|0|171|0|29|314|24|37|15|716|12|16|8|74|14|2|0|0|0|0|0|0|0|0|0|0|0|0|8|0|0|0|0|0|0|8|0|0|0|0
"1043"|"REG 05 EDUCATION SERVICE CENTER"|2013|"Non-BEP"|0|188|0|2|7|0|0|7|0|0|34|2|4|3|94|0|0|0|44|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0
"1044"|"REG 06 EDUCATION SERVICE CENTER"|2013|"Non-BEP"|0|30|0|4|4|0|0|4|0|0|9|0|0|0|15|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|2|0|0|0|0
"1045"|"REG 07 EDUCATION SERVICE CENTER"|2013|"Non-BEP"|0|190|0|0|6|0|0|6|NA|4|39|11|5|4|95|2|4|10|9|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1046"|"REG 10 EDUCATION SERVICE CENTER"|2013|"Non-BEP"|0|534|0|0|83|0|0|83|NA|16|74|16|14|8|267|15|15|1|20|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1047"|"REG 11 EDUCATION SERVICE CENTER"|2013|"Non-BEP"|0|266|0|0|31|0|0|31|NA|7|52|4|6|9|133|2|2|2|14|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1048"|"REG 12 EDUCATION SERVICE CENTER"|2013|"Non-BEP"|0|112|0|56|0|0|0|0|0|1|42|2|3|5|56|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|26|0|0|1|1|0|0|28|0|0|0|0
"1049"|"REG 13 EDUCATION SERVICE CENTER"|2013|"Non-BEP"|0|666|0|44|62|0|0|62|0|8|69|14|24|4|333|99|1|2|33|9|8|0|0|0|0|0|0|0|0|0|0|0|0|22|0|0|0|0|0|0|22|0|0|0|0
"1050"|"REG 14 EDUCATION SERVICE CENTER"|2013|"Non-BEP"|0|64|0|0|0|0|0|0|NA|0|16|0|2|0|32|0|0|0|14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1051"|"REG 18 EDUCATION SERVICE CENTER"|2013|"Non-BEP"|0|238|0|0|11|0|0|11|NA|11|73|0|6|9|119|0|0|1|7|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1052"|"REG 19 EDUCATION SERVICE CENTER"|2013|"Non-BEP"|0|56|0|0|6|0|0|6|NA|2|11|1|3|0|28|0|2|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1053"|"REG 20 EDUCATION SERVICE CENTER"|2013|"Non-BEP"|0|582|0|0|19|0|0|19|NA|19|157|13|20|6|291|2|10|6|36|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1054"|"Schreiner University"|2013|"Non-BEP"|0|12|4|18|0|0|0|0|0|0|3|1|0|0|6|0|1|1|0|0|0|0|1|0|0|2|0|1|0|0|0|0|0|1|1|5|0|0|0|0|9|0|0|2|0
"1055"|"South Texas College"|2013|"Non-BEP"|0|76|0|0|14|0|0|14|NA|0|22|0|1|0|38|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1056"|"South Texas Transition to Teaching ACP"|2013|"Non-BEP"|0|344|0|0|33|0|0|33|NA|14|66|7|18|11|172|0|0|4|19|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1057"|"Southwestern Adventist University"|2013|"Non-BEP"|0|8|4|16|0|0|0|0|0|0|2|0|0|2|4|0|0|0|0|0|0|0|1|0|0|2|1|0|0|0|0|0|0|0|0|8|0|0|0|0|8|0|0|0|0
"1058"|"Tarleton State University"|2013|"Non-BEP"|0|66|0|854|11|0|153|164|0.179156908665105|2|11|2|0|2|33|2|1|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|9|149|25|2|2|17|427|37|0|23|0
"1059"|"TeacherBuilder.com"|2013|"Non-BEP"|0|294|0|0|13|0|0|13|NA|18|44|9|7|3|147|19|2|8|10|7|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1060"|"Teachers for the 21st Century"|2013|"Non-BEP"|0|30|0|0|1|0|0|1|NA|1|7|0|0|0|15|0|0|1|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1061"|"Teachworthy"|2013|"Non-BEP"|0|536|0|0|20|0|0|20|NA|15|118|8|18|6|268|22|9|2|43|2|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1062"|"Texas A&M International University"|2013|"Non-BEP"|0|22|0|214|0|0|4|4|0.0186915887850467|0|2|2|3|3|11|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|5|51|8|2|4|14|107|0|3|11|0
"1063"|"Texas A&M University"|2013|"Non-BEP"|0|58|84|1696|0|2|277|279|0.163325471698113|3|0|6|11|9|29|0|0|0|0|0|0|0|0|2|0|42|17|0|4|12|5|0|0|101|0|221|126|6|0|50|848|36|0|31|0
"1064"|"Texas A&M University - Commerce"|2013|"BEP"|0|190|6|892|3|0|59|62|0.0661434977578475|4|42|2|6|3|95|14|6|5|7|2|1|0|3|0|0|3|0|0|0|0|0|0|0|13|35|222|39|10|8|24|446|7|2|26|1
"1065"|"Texas A&M University - Corpus Christi"|2013|"Non-BEP"|0|6|72|390|0|0|3|3|0.00769230769230769|0|0|2|1|0|3|0|0|0|0|0|0|2|7|5|2|36|5|3|2|3|7|0|0|13|15|95|17|4|6|14|195|0|0|28|0
"1066"|"Texas A&M University - Kingsville"|2013|"Non-BEP"|0|34|18|244|1|0|1|2|0.00409836065573771|0|6|3|6|0|17|0|0|0|1|0|0|0|6|0|0|9|0|0|0|0|1|1|1|7|21|67|6|1|0|0|122|5|0|13|1
"1067"|"Texas A&M University - San Antonio"|2013|"Non-BEP"|0|48|0|402|1|0|20|21|0.0497512437810945|1|9|0|3|0|24|0|0|2|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0|136|4|5|3|16|201|0|0|13|0
"1068"|"Texas A&M University - Texarkana"|2013|"Non-BEP"|0|50|0|198|0|0|5|5|0.0252525252525253|4|10|0|4|2|25|1|2|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|58|11|3|2|17|99|0|0|0|0
"1069"|"Texas Alternative Cert Pgm @ Austin"|2013|"Non-BEP"|0|26|0|0|2|0|0|2|NA|0|7|0|0|0|13|0|3|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1070"|"Texas Alternative Cert Pgm @ Brownsville"|2013|"Non-BEP"|0|56|0|0|5|0|0|5|NA|2|5|0|7|3|28|2|0|1|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1071"|"Texas Alternative Certification Program"|2013|"Non-BEP"|0|132|0|0|5|0|0|5|NA|4|13|3|2|7|66|9|10|3|8|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1072"|"Texas Gulf Foundation"|2013|"Non-BEP"|0|48|0|0|0|0|0|0|NA|0|0|12|11|0|24|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1073"|"The Texas Institute for Teacher Educatio"|2013|"Non-BEP"|0|102|0|0|6|0|0|6|NA|0|36|1|0|0|51|0|0|0|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1074"|"TNTP Academy - Fort Worth"|2013|"Non-BEP"|0|182|0|0|28|0|0|28|NA|0|42|7|14|0|91|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1075"|"Training via E-Learning: An Alt Crt Hybr"|2013|"Non-BEP"|0|64|0|0|4|0|0|4|NA|3|11|0|3|1|32|0|3|1|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1076"|"University of North Texas"|2013|"BEP"|0|62|160|1388|0|9|231|240|0.1664265129683|0|3|0|0|0|31|21|0|0|7|0|0|5|3|3|1|80|16|6|3|18|10|6|0|43|92|132|47|17|38|61|694|7|6|20|0
"1077"|"University of Texas - Brownsville"|2013|"Non-BEP"|0|22|18|426|4|0|75|79|0.176056338028169|0|1|3|0|0|11|0|0|0|3|0|0|0|2|3|1|9|2|0|0|0|1|0|0|11|13|48|16|6|6|15|213|0|2|14|7
"1078"|"University of Texas - El Paso"|2013|"Non-BEP"|0|120|12|946|7|1|79|87|0.0835095137420719|4|18|4|7|2|60|6|3|3|6|0|0|0|4|0|0|6|0|1|0|0|0|0|0|49|29|138|48|15|27|60|473|1|9|18|0
"1079"|"Weatherford College"|2013|"Non-BEP"|0|28|0|0|0|0|0|0|NA|3|5|2|0|1|14|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1080"|"Web-Centric Alternative Cert Program"|2013|"Non-BEP"|0|996|0|0|51|0|0|51|NA|33|233|27|24|28|498|4|19|24|46|7|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1081"|"West Texas A&M University"|2013|"Non-BEP"|0|200|128|458|4|7|73|84|0.15938864628821|16|43|7|7|1|100|1|5|5|8|3|0|1|28|4|2|64|3|5|1|4|5|4|0|10|30|43|12|11|7|9|229|13|3|18|0
"1082"|"Western Governors University"|2013|"Non-BEP"|0|8|0|0|0|0|0|0|NA|0|1|0|1|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1083"|"YES PREP PUBLIC SCHOOLS INC"|2013|"Non-BEP"|0|522|0|0|36|0|0|36|NA|25|119|27|17|10|261|0|9|7|3|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1084"|"Abilene Christian University"|2013|"Non-BEP"|0|0|2|188|0|1|27|28|0.143617021276596|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|7|5|31|1|1|4|7|94|0|3|7|1
"1085"|"Angelo State University"|2013|"Non-BEP"|0|0|66|324|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|2|13|2|2|33|6|3|0|2|1|1|0|8|7|89|8|2|9|28|162|9|1|1|0
"1086"|"Austin College"|2013|"Non-BEP"|0|0|30|0|0|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|2|5|0|0|15|1|1|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1087"|"Baylor University"|2013|"Non-BEP"|0|0|18|350|0|0|32|32|0.0914285714285714|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|9|2|4|0|1|1|0|0|14|32|54|12|1|9|13|175|3|2|3|0
"1088"|"Concordia University"|2013|"Non-BEP"|0|0|34|66|0|0|1|1|0.0151515151515152|0|0|0|0|0|0|0|0|0|0|0|0|0|12|1|0|17|3|0|0|1|0|0|0|5|0|14|4|2|5|0|33|0|0|2|0
"1089"|"Dallas Baptist University"|2013|"Non-BEP"|0|0|28|86|0|0|1|1|0.0116279069767442|0|0|0|0|0|0|0|0|0|0|0|0|1|6|1|0|14|2|4|0|0|0|0|0|6|5|23|7|0|1|0|43|0|0|0|0
"1090"|"East Texas Baptist University"|2013|"Non-BEP"|0|0|14|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|4|0|0|7|0|1|0|0|1|0|0|5|6|14|6|1|3|0|44|0|0|9|0
